plotID,earliest_disturbance,latest_disturbance,mean_before_O,mean_after_O,mean_before_M,mean_after_M,years_offset_before,O_after_1,O_after_2,O_after_3,O_after_4,O_after_5,O_after_6,O_after_7,O_after_8,O_after_9,O_after_10,O_after_11,O_after_12,O_after_13,O_after_14,O_after_15,O_after_16,O_after_17,O_after_18,O_after_19,O_after_20,M_after_1,M_after_2,M_after_3,M_after_4,M_after_5,M_after_6,M_after_7,M_after_8,M_after_9,M_after_10,M_after_11,M_after_12,M_after_13,M_after_14,M_after_15,M_after_16,M_after_17,M_after_18,M_after_19,M_after_20
MLBS_061,2018-06-27,2018-07-27,18.400000000000002,49.72,2.2833333333333337,4.783333333333333,10,,,,,49.72,,,,,,,,,,,,,,,,,,,,4.783333333333333,,,,,,,,,,,,,,,
MLBS_006,2018-06-27,2018-07-27,11.996666666666664,,1.0466666666666666,2.5466666666666664,10,,,,,,,,,,,,,,,,,,,,,,,,,2.5466666666666664,,,,,,,,,,,,,,,
MLBS_007,2018-06-27,2018-07-27,11.555,52.83,1.32,3.75,10,,,,,52.83,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,
MLBS_067,2018-06-27,2018-07-27,19.316666666666666,43.99,2.896666666666667,7.4775,10,,,,,43.99,,,,,,,,,,,,,,,,,,,,7.4775,,,,,,,,,,,,,,,
MLBS_063,2018-06-27,2018-07-27,11.163333333333334,46.54,1.9425,5.6000000000000005,10,,,,,46.54,,,,,,,,,,,,,,,,,,,,5.6000000000000005,,,,,,,,,,,,,,,
ORNL_002,2019-10-31,2019-10-31,5.205454545454545,1.6533333333333333,,,10,,,1.6533333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNL_003,2019-10-31,2019-10-31,2.7337499999999997,1.3033333333333335,,,10,,,1.3033333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNL_027,2019-10-31,2019-10-31,3.955833333333333,1.2366666666666666,,,10,,,1.2366666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNL_001,2019-10-31,2019-10-31,7.976666666666667,7.856,,,10,,,7.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNL_043,2019-10-31,2019-10-31,8.333076923076923,10.587499999999999,,,10,,,10.587499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNL_046,2019-10-31,2019-10-31,6.841666666666666,1.8525,,,10,,,1.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNL_053,2019-10-31,2019-10-31,4.15,1.7266666666666666,,,10,,,1.7266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNL_049,2019-10-31,2019-10-31,5.724615384615385,4.995,,,10,,,4.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBS_027,2017-09-01,2019-09-21,2.356666666666667,0.5433333333333333,,,10,,0.5433333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBS_004,2017-09-01,2019-09-21,1.4400000000000002,0.6533333333333333,,,10,,0.6533333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBS_005,2017-09-01,2019-09-21,13.85,37.68333333333333,,,10,,37.68333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBS_026,2017-09-01,2019-09-21,0.7566666666666667,0.58,,,10,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBS_002,2017-09-01,2019-09-21,0.75,0.48666666666666664,,,10,,0.48666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBS_001,2017-09-01,2019-09-21,1.1500000000000001,4.208333333333333,,,10,,4.208333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBS_003,2017-09-01,2019-09-21,1.1066666666666667,12.261999999999999,,,10,,12.261999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCBI_045,2017-09-11,2019-07-04,,,2.355,3.41,10,,,,,,,,,,,,,,,,,,,,,,,3.41,,,,,,,,,,,,,,,,,
SCBI_004,2017-09-11,2019-07-04,,,2.033333333333333,2.1233333333333335,10,,,,,,,,,,,,,,,,,,,,,,,2.1233333333333335,,,,,,,,,,,,,,,,,
SCBI_006,2017-09-11,2019-07-04,,,1.8150000000000002,1.9900000000000002,10,,,,,,,,,,,,,,,,,,,,,,,1.9900000000000002,,,,,,,,,,,,,,,,,
SCBI_003,2017-09-11,2019-07-04,,,5.674285714285714,5.66,10,,,,,,,,,,,,,,,,,,,,,,,5.66,,,,,,,,,,,,,,,,,
SCBI_005,2017-09-11,2019-07-04,,,2.155,2.7466666666666666,10,,,,,,,,,,,,,,,,,,,,,,,2.7466666666666666,,,,,,,,,,,,,,,,,
SCBI_067,2017-09-11,2019-07-04,,,2.9916666666666667,6.05,10,,,,,,,,,,,,,,,,,,,,,,,6.05,,,,,,,,,,,,,,,,,
SCBI_049,2017-09-11,2019-07-04,,,3.938333333333333,2.15,10,,,,,,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,,,,
SCBI_047,2017-09-11,2019-07-04,,,2.675,2.77,10,,,,,,,,,,,,,,,,,,,,,,,2.77,,,,,,,,,,,,,,,,,
SCBI_008,2017-09-11,2019-07-04,,,1.8699999999999999,2.016666666666667,10,,,,,,,,,,,,,,,,,,,,,,,2.016666666666667,,,,,,,,,,,,,,,,,
TREE_014,2019-04-19,2019-09-16,,,1.7533333333333332,1.5566666666666666,10,,,,,,,,,,,,,,,,,,,,,1.5566666666666666,,,,,,,,,,,,,,,,,,,
TREE_046,2019-04-19,2019-09-16,,,2.65,2.1566666666666667,10,,,,,,,,,,,,,,,,,,,,,2.1566666666666667,,,,,,,,,,,,,,,,,,,
TREE_049,2019-04-19,2019-09-16,,,2.2333333333333334,2.526666666666667,10,,,,,,,,,,,,,,,,,,,,,2.526666666666667,,,,,,,,,,,,,,,,,,,
TREE_050,2019-04-19,2019-09-16,,,1.8766666666666667,2.09,10,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,
TREE_041,2019-04-19,2019-09-16,,,1.8,2.563333333333333,10,,,,,,,,,,,,,,,,,,,,,2.563333333333333,,,,,,,,,,,,,,,,,,,
TREE_003,2019-04-19,2019-09-16,,,1.5899999999999999,1.8575,10,,,,,,,,,,,,,,,,,,,,,1.8575,,,,,,,,,,,,,,,,,,,
TREE_001,2019-04-19,2019-09-16,,,1.5675,1.8,10,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,
TREE_002,2019-04-19,2019-09-16,40.446666666666665,44.61333333333334,6.6433333333333335,2.5949999999999998,10,44.61333333333334,,,,,,,,,,,,,,,,,,,,2.5949999999999998,,,,,,,,,,,,,,,,,,,
TREE_006,2019-04-19,2019-09-16,,,1.2833333333333334,2.1566666666666667,10,,,,,,,,,,,,,,,,,,,,,2.1566666666666667,,,,,,,,,,,,,,,,,,,
UKFS_044,2019-03-20,2019-04-29,20.863333333333333,,4.398333333333333,3.893333333333333,10,,,,,,,,,,,,,,,,,,,,,,,,,3.893333333333333,,,,,,,,,,,,,,,
UKFS_031,2019-03-20,2019-04-29,21.049999999999997,,3.454285714285714,3.123333333333333,10,,,,,,,,,,,,,,,,,,,,,,,,,3.123333333333333,,,,,,,,,,,,,,,
UKFS_043,2019-03-20,2019-04-29,29.17,,4.0912500000000005,4.33,10,,,,,,,,,,,,,,,,,,,,,,,,,4.33,,,,,,,,,,,,,,,
UKFS_001,2019-03-20,2019-04-29,25.51,,4.693333333333333,6.2575,10,,,,,,,,,,,,,,,,,,,,,,,,,6.2575,,,,,,,,,,,,,,,
UKFS_002,2019-03-20,2019-04-29,,,4.6866666666666665,4.8566666666666665,10,,,,,,,,,,,,,,,,,,,,,,,,,4.8566666666666665,,,,,,,,,,,,,,,
UKFS_009,2019-03-20,2019-04-29,,,1.9349999999999998,1.8233333333333333,10,,,,,,,,,,,,,,,,,,,,,,,,,1.8233333333333333,,,,,,,,,,,,,,,
UKFS_004,2019-03-20,2019-04-29,,,2.9814285714285718,3.2566666666666664,10,,,,,,,,,,,,,,,,,,,,,,,,,3.2566666666666664,,,,,,,,,,,,,,,
UKFS_032,2019-03-20,2019-04-29,,,3.8383333333333334,3.62,10,,,,,,,,,,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,
UKFS_005,2019-03-20,2019-04-29,14.98,,3.9316666666666666,3.7366666666666664,10,,,,,,,,,,,,,,,,,,,,,,,,,3.7366666666666664,,,,,,,,,,,,,,,
UKFS_003,2019-03-20,2019-04-29,,,2.9166666666666665,2.7733333333333334,10,,,,,,,,,,,,,,,,,,,,,,,,,2.7733333333333334,,,,,,,,,,,,,,,
